word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
guérison,1710-1720,1750-1760,109,264,,0.853,0.2518,
jeûne,1720-1730,1760-1770,105,147,,0.8509,0.1132,
travailloit,1720-1730,1750-1760,139,264,,0.8501,,
l'indignation,1700-1710,1730-1740,59,214,,0.8462,,
rions,1720-1730,1760-1770,184,388,,0.8426,0.2586,
librairie,1720-1730,1789-1802,111,185,,0.8421,0.848,
cune,1720-1730,1770-1780,170,645,,0.8416,0.3967,
qu'étant,1720-1730,1770-1780,442,1037,,0.8411,,
prouvée,1710-1720,1730-1740,66,134,,0.841,0.702,
guere,1730-1740,1789-1802,193,384,,0.8371,0.7868,
d'étonnement,1720-1730,1780-1789,56,315,,0.8364,,
milice,1720-1730,1730-1740,428,451,,0.8322,0.7022,
d'espace,1720-1730,1789-1802,100,172,,0.8308,,
reglé,1780-1789,1789-1802,78,50,,0.8302,,
embarrassé,1780-1789,1789-1802,480,450,,0.8285,0.7689,
n'appartient,1700-1710,1720-1730,82,132,,0.8283,,
palier,1710-1720,1789-1802,126,196,,0.8283,,
deviné,1710-1720,1720-1730,68,51,,0.8282,0.3659,
remettant,1700-1710,1730-1740,81,135,,0.8259,0.7643,
commençons,1710-1720,1780-1789,77,309,,0.8252,0.2878,
nage,1760-1770,1780-1789,459,809,,0.8241,0.0574,
n'oublia,1750-1760,1780-1789,100,164,,0.8235,,
moururent,1720-1730,1730-1740,81,76,,0.8227,0.7144,
l'attaquer,1710-1720,1750-1760,51,194,,0.8205,,
voyager,1700-1710,1730-1740,84,121,,0.8203,0.1862,
l'accepter,1720-1730,1770-1780,62,150,,0.818,,
tendoit,1700-1710,1750-1760,67,244,,0.8179,0.6802,
mâles,1710-1720,1780-1789,177,1039,,0.8164,,
pére,1720-1730,1780-1789,865,129,,0.8136,,
purifie,1700-1710,1720-1730,89,96,,0.8127,,
revenoit,1720-1730,1730-1740,162,415,,0.8108,0.9315,
trêve,1700-1710,1710-1720,81,60,,0.8082,,
d'expérience,1770-1780,1789-1802,445,293,,0.8069,,
gallicane,1700-1710,1750-1760,104,98,,0.8046,,
omis,1700-1710,1710-1720,70,68,,0.8035,0.0303,
défendoit,1720-1730,1740-1750,90,163,,0.803,0.8047,
conviens,1750-1760,1789-1802,594,855,,0.8015,0.7988,
comptoit,1700-1710,1720-1730,113,192,,0.8001,0.8786,
commencez,1700-1710,1760-1770,94,243,,0.7996,,
fendu,1710-1720,1730-1740,78,81,,0.7982,0.2141,
livra,1700-1710,1710-1720,82,81,,0.7981,0.3378,
éternellement,1780-1789,1789-1802,532,539,,0.7973,,
d'agrément,1780-1789,1789-1802,329,207,,0.7951,,
choisie,1720-1730,1740-1750,71,152,,0.7939,0.2383,
dont,1760-1770,1770-1780,97594,133578,,0.7938,0.2145,
suffisant,1750-1760,1770-1780,263,451,,0.7927,0.3595,
refroidir,1740-1750,1789-1802,96,163,,0.7926,,
travailla,1710-1720,1789-1802,97,249,,0.7875,,
refaits,1740-1750,1789-1802,91,71,,0.7861,,
l'attendre,1700-1710,1710-1720,60,73,,0.7847,,
qu'ont,1700-1710,1740-1750,191,451,,0.7842,,
cabinets,1770-1780,1789-1802,496,682,,0.7823,,
péri,1700-1710,1710-1720,53,86,,0.7796,0.1008,
