mot_cible,nb_ancres,ancres
allées,6,"planches, murailles, fontaines, tiges, d'arbres, fenêtres"
alléguer,9,"prévaloir, appliquer, appeller, prouver, ajouter, prétendre, s'imaginer, êrre, obtenir"
allés,4,"allez, retournez, contentez, entrez"
alors,3,"ensuite, quand, lors"
alpes,4,"montagnes, mers, rhin, rochers"
also,18,"commercial, taken, whether, books, please, only, search, domain, most, google, those, text, where, other, difficult, first, them, these"
altera,5,"locum, magna, partem, vitam, quidquid"
alternativement,3,"pointes, bouts, bâtons"
altesse,12,"majeste, excellence, epouse, abfence, oncle, approbation, ayeul, cousin, serviteur, confesseur, frère, neveu"
amandes,8,"prunes, pommes, légumes, poires, graines, noix, meures, choux"
amans,13,"amants, bergers, concerts, compagnes, soupirs, nymphes, amours, douceurs, souhaits, coeurs, ennuis, plaisirs, soeurs"
amant,13,"hymen, epoux, rival, amour, perfide, emportement, affront, infidèle, destin, courroux, epouse, esclave, amoureux"
amante,8,"nymphe, inhumaine, mortelle, ardeur, perfide, image, amant, infidèle"
amants,17,"amans, concerts, mortels, souhaits, amours, voeux, soupirs, momus, coeurs, ennuis, bergers, choeur, nymphes, moments, serments, plaisirs, l'hymen"
amas,10,"ornement, espace, éclat, oiseau, inconvénient, astre, arbre, orage, instrument, animal"
amasser,13,"garnir, acheter, employer, paier, augmenter, acquerir, emprunter, transporter, attraper, entretenir, nourrir, apporter, fournir"
amateurs,6,"ignorans, sculpteurs, divertissemens, spectacles, peintres, poëtes"
ambassade,16,"aventure, audience, ambassadeur, exil, oncle, histoire, avanture, affaire, remontrance, abfence, conjoncture, arrivée, retour, epître, voyage, alliance"
ambassadeur,15,"l'ambassadeur, abbé, ambassade, secrétaire, évêque, tellier, l'archiduc, cardinal, allemagne, chancelier, l'envoya, confesseur, courrier, archevêque, ambassadeurs"
ambassadeurs,15,"ministres, etats, princes, alliez, cardinaux, seigneurs, rois, l'ambassadeur, gouverneurs, evêques, prélats, courtisans, agens, commissaires, magistrats"
ambition,3,"amour, ardeur, inclination"
ambroise,10,"bernard, daniel, gregoire, nicolas, michel, sulpice, thomas, martin, augustin, clement"
amen,13,"dicu, chrif, eternel, dien, prions, l'eternel, sauveur, éternel, chri, bienheureux, jefus, gneur, éternellement"
amena,23,"envoya, mena, présenta, emporta, manda, renvoya, l'envoya, courut, chargea, rencontra, remit, conduisit, revint, quitta, vint, partit, apporta, arriva, entra, retira, commanda, suivit, apprit"
amende,15,"l'amende, d'amende, punition, consiscation, applicable, contrevenans, contravention, confiscation, delits, dommages, vacation, condamnez, amendes, dette, solidairement"
amendes,18,"contraventions, saisies, proprietaires, fraudes, comptables, quittances, l'amende, vacations, condamnez, contrevenans, déclarations, assignations, redevances, contravention, consiscation, cautions, débiteurs, procédures"
amene,7,"leve, chante, donnera, plait, plaît, gagne, joue"
amener,13,"envoyer, aborder, apporter, embarquer, mener, monter, revenir, préparer, placer, arriver, porter, joindre, aller"
