mot_cible,nb_ancres,ancres
comtesse,12,"soeur, gouvernante, mlle, nièce, chevalier, dame, marquis, duchesse, cadette, princesse, tante, comte"
comté,9,"duché, provence, bailliage, vicomte, d'auvergne, lorraine, dauphiné, principauté, seigneuries"
comédie,5,"comedie, prologue, théâtre, divertissement, pièce"
comédiens,6,"comédie, courtisans, théâtre, spectacles, divertissement, prologue"
comédies,3,"satyres, histoires, comédie"
conception,11,"sacrement, spirituelle, sauveur, vierge, trinité, baptême, adam, terrestre, image, ecriture, l'ange"
concernant,13,"recueil, reglemens, contenues, arrets, reglement, déclarations, ordonnances, extraits, contenus, monograph, edits, statuts, touchant"
concerne,6,"regarde, appartient, contient, dépendent, reglement, touchant"
concernent,4,"dépendent, condamnent, particulières, suivent"
concert,8,"conjointement, d'instrumens, empressement, s'entretenir, brouiller, incompatible, succés, l'union"
concerts,16,"bergers, amants, nymphes, chantons, retentir, amours, soupirs, airs, sombres, souhaits, amans, choeur, choeurs, divertissemens, cantiques, spectacles"
concession,6,"ordonnance, seigneurie, nomination, declaration, confirmation, déclaration"
concevoir,12,"comprendre, s'imaginer, produire, conclure, juger, expliquer, considerer, croire, prouver, exprimer, appliquer, douter"
concil,12,"arrets, edit, controlleur, secretaire, genéral, l'edit, resente, rarefié, syndics, parlement, signé, conseil"
concile,12,"synode, jérusalem, conciles, dogme, constantinople, patriarche, pape, gregoire, bref, papes, bulle, l'eglise"
conciles,24,"papes, gallicane, dogmes, patriarches, théologiens, ecrivains, concile, evêques, constitutions, prélats, cardinaux, docteurs, protestans, synode, apôtres, ecrits, catholiques, hérétiques, eglises, decrets, empereurs, pasteurs, vicaires, ecclésiastiques"
concilier,5,"s'accommoder, établir, traiter, accorder, brouiller"
conclu,13,"conclue, renvoyé, approuvé, traité, convenu, consenti, accordé, declaré, arrêté, signée, confirmé, ordonné, dressé"
conclue,4,"conclu, suede, trêve, paix"
conclure,18,"ajouter, s'imaginer, remarquer, considerer, avouer, douter, esperer, prouver, attendre, s'étonner, observer, appliquer, croire, êtrc, juger, appeller, rapporter, étre"
conclus,6,"s'enfuit, resulte, conclure, prouvé, procede, provient"
conclusion,12,"publication, trêve, conclu, proposition, renonciation, consequence, garantie, continuation, convention, clause, délibération, validité"
conclusions,17,"requête, demandeurs, contraventions, tendante, contredits, syndic, arrets, procureur, quittances, procédures, procureurs, avocats, proces, déclarations, supplians, requêtes, assignations"
conclut,5,"déclara, conclue, demandoit, conclu, reçût"
concorde,7,"l'union, tranquilité, union, éternelle, paix, charité, regner"
concourir,3,"s'accommoder, conjointement, préferer"
concours,3,"mouvement, dépendent, miracle"
concurrence,5,"present, remboursement, inclusivement, présent, proportion"
condamna,8,"condamné, déclara, prononcée, ordonna, accusé, condamnez, déclaré, renvoya"
condamnation,11,"sentence, declaration, condamné, jugement, punition, prononcée, restitution, renonciation, saisie, condamne, decret"
condamne,7,"condamné, declare, condamnation, prononce, l'amende, condamnez, requiert"
condamnent,14,"déclarent, rejettent, enseignent, entendent, prétendent, contentent, croyent, s'imaginent, trompent, écrivent, jugent, parlent, ignorent, disent"
condamner,10,"ordonner, condamne, condamnation, condamné, approuver, contraindre, criminels, prononcer, assigner, l'amende"
condamnez,11,"amendes, contraints, l'amende, payez, contrevenans, amende, condamné, ordonnez, employez, contravention, reduits"
condamné,12,"accusé, délivré, déclaré, convaincu, déchargé, condamnation, maltraité, condamnez, condamne, prononcée, coupable, taxé"
condamnés,4,"condamnez, contraints, condamné, criminels"
conde,5,"seconde, premiére, operation, deuxième, quatrieme"
condition,13,"qualité, obligation, clause, acquisition, distinction, consideration, convention, conditions, somme, tutelle, amende, pretexte, rente"
conditions,10,"clauses, régles, obligations, choies, propositions, constitutions, aions, places, choses, loix"
conduire,12,"mener, suivre, préparer, placer, entrer, passer, élever, emporter, arrêter, retirer, marcher, aller"
conduisent,9,"passent, s'attachent, viennent, trouvent, suivent, entrent, jettent, rencontrent, sortent"
conduisit,28,"mena, descendit, entra, courut, sortit, rencontra, retira, s'avança, alla, s'arrêta, suivit, présenta, remit, accourut, porta, marchoit, reçut, demeuroit, emporta, quitta, passa, vint, leva, ouvrit, monta, montra, cacha, l'envoya"
conduisoit,24,"descendit, appella, marchoit, rencontra, entra, mena, tenoit, conduisit, courut, montra, commandoit, passoit, portoit, suivit, demeuroit, s'arrêta, attendoit, accourut, reconnut, sortit, alloit, étoit, voyoit, cacha"
conduit,8,"conduire, élevé, ouvert, mené, dérobé, conduisit, arrêté, jettée"
conduite,3,"humeur, intelligence, remontrance"
conduites,6,"mises, trouvées, jugées, portées, ouvertes, établies"
condé,8,"d'auvergne, bade, rohan, conti, montfort, lorraine, maurice, d'orange"
confesser,5,"prieres, accomplir, adorer, châtier, prier"
confesseur,18,"frère, oncle, évêque, prélat, gendre, cousin, tellier, abbé, père, l'abbé, neveu, cardinal, secrétaire, bâtard, prieur, vicaire, archevêque, moine"
confession,16,"patriarche, doctrine, jérusalem, authentique, justification, dogmes, tradition, synode, créance, dogme, confirmation, bulle, formule, renonciation, eglise, apostolique"
confia,16,"renvoya, promit, reçût, remit, manda, présenta, montra, donna, accorda, obtint, apporta, apprit, remercia, attira, reçut, chargea"
confiance,5,"familiarité, amitié, humilité, bonté, d'amitié"
confiant,8,"évident, devenu, abondant, incertain, vrai, certain, fondé, vifible"
confidence,10,"épouser, l'épouser, nièce, accroire, révérence, angélique, tante, compliment, madame, lucile"
confie,3,"destine, rende, serve"
confier,7,"accorder, permettre, disposer, envoyer, retenir, charger, donner"
confirma,10,"accorda, obtint, déclara, reçût, renvoya, écrivit, ordonna, présenta, remit, porta"
confirmation,14,"patentes, bulle, validité, déclarations, declaration, privilèges, nomination, signature, obtenues, déclaration, edits, ordonnance, renonciation, publication"
confirme,5,"explique, touchant, confirmé, expliquée, cité"
confirmer,7,"approuver, prouver, publier, accomplir, établir, expliquer, executer"
confirmé,8,"approuvé, demandée, déclaré, approuvée, rapporté, établi, prouvé, porté"
confirmée,9,"confirmé, prononcée, signée, approuvée, jugée, inventée, continuée, observée, établie"
confiscation,13,"consiscation, contrefaits, d'amende, l'amende, contrevenans, nullité, applicable, amende, dommages, contravention, amendes, delits, punition"
confitures,16,"prunes, noix, canelle, muscade, fromage, d'olive, légumes, liqueurs, poires, citron, sucre, pommes, miel, d'inde, d'huile, d'herbes"
confié,15,"offert, refusé, donné, demandé, fourni, promis, sauvé, commandé, volé, fauvé, apporté, mandé, donnée, prêté, délivré"
confolation,7,"joye, mortification, humilité, joie, chere, douleur, affliction"
confond,5,"agit, s'accorde, incompatible, mêle, entend"
confondent,5,"mêlent, suivent, parlent, s'attachent, rencontrent"
confondre,14,"avouer, s'étonner, s'accommoder, conclure, mêler, traiter, appliquer, joindre, excepter, ajouter, observer, brouiller, expliquer, examiner"
confondu,4,"mêlé, incompatible, écouté, suivi"
conformement,17,"conformément, reglemens, mandemens, contraventions, statuts, depens, arrets, contravention, edits, constitutions, ordonnances, enjoint, decrets, supplians, clauses, susdits, contrevenu"
conformer,8,"regler, s'accommoder, appliquer, conformement, suivre, accommoder, déroger, établir"
conformes,4,"opposez, contraires, conformément, conformement"
conformité,11,"liaison, l'union, union, différence, difference, convention, incompatible, differente, intelligence, relation, justesse"
conformément,13,"conformement, reglemens, mandemens, statuts, suivant, contraventions, ordonnances, enjoint, clauses, l'ordonnance, reglement, articles, félon"
confreres,11,"disciples, camarades, serviteurs, prédécesseurs, sermons, freres, ecoliers, auditeurs, compagnes, successeurs, amis"
conful,12,"préteur, marcellus, tribun, dictateur, lentulus, clodius, caton, quintus, catilina, lucius, confulat, pompée"
confulat,17,"consulat, rappel, exil, conful, senat, tribun, sénat, cefar, marcellus, pompée, préteur, pontificat, quintus, lentulus, dictateur, lucius, marcus"
confuls,14,"consuls, tribuns, magistrats, senat, augures, sénat, tribun, gouverneurs, marcellus, catilina, préteur, lentulus, dictateur, citoyens"
confulter,6,"expliquer, apprendre, examiner, avertir, appeller, enseigner"
confus,7,"affreux, étonné, outré, frayeur, effroyable, redouble, furieux"
confusion,4,"frayeur, desordre, surprise, trouble"
conférence,7,"relation, délibération, assemblée, conclu, séance, ambassade, remontrance"
conférences,4,"ambassadeurs, entretiens, contestations, guerres"
congé,21,"audience, permission, poste, dîner, partit, lendemain, parti, souper, arrivant, courrier, l'avis, l'envoyer, saluer, départ, retourner, billet, carrosse, retour, resolution, l'habit, partir"
conjecture,7,"traduction, manuscrits, expression, texte, invention, correction, définition"
conjectures,7,"critiques, impostures, histoires, reflexions, observations, pensées, preuves"
conjointement,7,"conformité, incompatible, s'entretenir, liaison, brouiller, s'accorde, solidairement"
conjoncture,11,"resolution, affaire, situation, occasion, remontrance, revolution, assemblée, aventure, ambassade, avanture, commission"
conjuration,12,"catilina, clodius, sénat, complices, sylla, marcellus, césar, tribun, lentulus, d'antoine, dictateur, pompée"
conjure,16,"priez, prie, deviez, supplie, m'aimez, partez, croyez, attendez, voulez, souffrez, vouliez, devez, tâchez, promets, cherchez, laissez"
connais,3,"sais, lisette, serais"
connaissance,6,"confidence, familiarité, grâce, nièce, angélique, liaison"
connaissez,9,"savez, seriez, m'aimez, souvenez, connais, n'êtes, êtes, aimez, croyez"
connaît,11,"connais, voyait, trouvait, croyait, disait, n'aime, aimait, m'aime, savait, sais, aime"
connaître,11,"connoître, paraître, comprendre, entendre, oublier, accroire, naître, confidence, expliquer, éclater, admirer"
connois,9,"connais, vois, fuis, n'es, suis, m'aimez, serois, crains, fais"
connoissance,8,"connoître, idée, science, experience, intelligence, reflexion, juger, capacité"
connoissancent,12,"ignorent, entendent, mêlent, parlent, n'aiment, aiment, croyent, écrivent, trompent, rejettent, craignent, voyent"
connoissances,6,"inclinations, pensées, observations, maximes, perfections, sciences"
connoissancez,11,"étes, souvenez, favez, direz, demandez, savez, n'êtes, trouverez, croyez, parlez, aimez"
connoît,10,"sçait, entend, scait, considere, nomme, s'imagine, n'entend, possede, trouve, voit"
connoître,15,"comprendre, juger, connoissance, entendre, expliquer, naître, admirer, remarquer, marquer, discerner, examiner, sçavoir, accroire, savoir, apprendre"
connu,13,"rapporté, distingué, remarqué, appris, entendu, étudié, estimé, conservé, parlé, oublié, rencontré, goûté, tiré"
connue,6,"éloignée, établie, ancienne, connu, changée, observée"
connues,9,"expliquées, tirées, claires, curieuses, excellentes, celles, arrivées, établies, marquées"
connut,15,"reconnut, voyoit, favoit, douta, parloit, n'ignoroit, entendoit, apprit, sentit, toucha, aimoit, entendit, doutoit, montra, perdit"
connétable,8,"ferdinand, l'archiduc, comte, marquis, léon, luxembourg, d'auvergne, gouverneur"
conquête,9,"revolution, l'archiduc, principauté, catalogne, colonie, capitale, l'espagne, victoire, afrique"
conquêtes,5,"guerres, forces, armées, prédécesseurs, troupes"
consacrer,4,"célébrer, adorer, accomplir, assister"
consacré,6,"offert, appellé, temple, minerve, choisi, bacchus"
conscience,5,"volonté, religion, opinion, justice, fidelité"
consciences,7,"coeurs, autels, prieres, mysteres, idoles, sermons, superieurs"
conseil,15,"l'avis, concil, secretaire, secrétaire, parlement, d'etat, conseils, arrets, controlleur, l'edit, commissaire, procureur, conseiller, conseillers, l'election"
conseille,20,"devez, manquera, deviez, faudra, pourriez, pourrez, permet, promets, voulez, supplie, manquez, faut, vouliez, tâchez, prie, pouvez, veuille, veut, voudrez, voudroit"
conseiller,19,"secrétaire, secretaire, intendant, d'etat, doyen, avocat, genéral, controlleur, surintendant, tellier, finances, prévôt, conseillers, chancelier, robert, député, vicomte, commissaire, nicolas"
conseillers,17,"secretaires, avocats, lieutenans, lieutenants, syndics, tenans, requêtes, baillifs, sénéchaux, procureurs, bailliages, huissiers, officiers, gentilshommes, conseiller, echevins, vicaires"
conseillé,17,"prié, mandé, répondu, témoigné, résolu, refusé, promis, demandé, souhaité, resolu, oublié, appris, offert, envoyé, voulu, consenti, apris"
conseils,11,"ordres, commandemens, souhaits, amis, ministres, prédécesseurs, camarades, foins, avis, affaires, auditeurs"
consens,10,"attends, serai, prends, connais, veux, fais, promets, vois, pense, tiens"
consentement,17,"participation, testament, approbation, permission, l'avis, serment, expresse, préjudice, decret, déroger, procuration, renvoi, mandement, avis, rappel, nomination, contrat"
consenti,15,"renoncé, refusé, obtenu, demandé, témoigné, répondu, manqué, souhaité, oublié, demandée, voulu, promis, apris, déclaré, quitté"
consentir,11,"contraindre, l'épouser, ceder, épouser, permettre, consentit, obtenir, souffrir, quitter, répondre, revenir"
consentit,18,"déclara, proposa, obtint, promit, reçût, manda, voulut, pressa, demandoit, pria, renvoya, résolut, ordonna, accorda, chargea, envoya, permit, remit"
