rank,word,drift_1789,drift_moyen
807,ba,0.6870,0.6094
808,touc,0.6869,0.7359
809,objet,0.6868,0.6691
810,diverti,0.6867,0.6722
811,lat,0.6866,0.6719
812,assembla,0.6866,0.6128
813,pitre,0.6865,0.6525
814,ronne,0.6864,0.6089
815,l'invention,0.6864,0.7291
816,fue,0.6864,0.6123
817,souffrir,0.6863,0.6509
818,défunt,0.6863,0.5938
819,informations,0.6862,0.5780
820,toire,0.6862,0.6514
821,male,0.6860,0.6081
822,l'exposer,0.6859,0.5661
823,rapports,0.6858,0.5817
824,ida,0.6858,0.5779
825,noit,0.6857,0.7325
826,arrêter,0.6857,0.6289
827,extremement,0.6856,0.7164
828,berté,0.6854,0.7249
829,colbert,0.6854,0.6233
830,morts,0.6854,0.6705
831,hau,0.6853,0.6293
832,secourir,0.6853,0.6238
833,particuliere,0.6851,0.6136
834,c'en,0.6850,0.7238
835,tonner,0.6849,0.6861
836,moy,0.6849,0.5635
837,ciers,0.6848,0.6616
838,neutralité,0.6848,0.6473
839,sceau,0.6848,0.5588
840,chere,0.6847,0.6812
841,march,0.6847,0.5949
842,apprentifs,0.6847,0.5593
843,monument,0.6846,0.6749
844,uand,0.6846,0.6327
845,établies,0.6845,0.6512
846,mens,0.6844,0.6215
847,veiller,0.6844,0.6961
848,excepter,0.6842,0.5885
849,tard,0.6842,0.7418
850,dépôt,0.6841,0.7041
851,fement,0.6841,0.7441
852,ménage,0.6840,0.7319
853,s'engage,0.6838,0.6866
854,loir,0.6838,0.6650
855,miens,0.6838,0.6715
856,détestable,0.6834,0.5927
857,recolte,0.6834,0.6363
858,ordinaire,0.6834,0.7243
859,réserve,0.6833,0.6311
860,ingénieux,0.6832,0.6013
861,pagne,0.6830,0.5951
862,sar,0.6828,0.6200
863,souhaiter,0.6823,0.7024
864,quine,0.6822,0.6232
865,saus,0.6822,0.6763
866,profite,0.6820,0.6998
867,décou,0.6820,0.7187
868,retrait,0.6820,0.6206
869,d'honneurs,0.6819,0.6759
870,passés,0.6815,0.6591
871,nons,0.6814,0.5686
872,généralité,0.6814,0.7272
873,actes,0.6813,0.6519
874,trancher,0.6813,0.7145
875,raisonnablement,0.6813,0.7557
876,ments,0.6812,0.6359
877,gagne,0.6812,0.6668
878,retardement,0.6810,0.6467
879,ac,0.6807,0.6582
880,franchement,0.6806,0.7367
