word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
revient,1700-1710,1730-1740,0.828282,0.171718,773,1804,5713,0.044544,0.955456,0.046852,0.953148
débris,1710-1720,1789-1802,0.828092,0.171908,128,1455,5696,0.017527,0.982473,0.026844,0.973156
trésor,1730-1740,1780-1789,0.827411,0.172589,301,2609,5690,0.026164,0.973836,0.036528,0.963472
ima,1710-1720,1780-1789,0.827111,0.172889,122,718,5672,0.011824,0.988176,0.030177,0.969823
propreté,1710-1720,1780-1789,0.827026,0.172974,169,833,5681,0.017379,0.982621,0.017938,0.982062
tendu,1750-1760,1780-1789,0.826893,0.173107,331,821,5688,0.007441,0.992559,0.011695,0.988305
prête,1780-1789,1789-1802,0.826835,0.173165,2875,2065,5711,0.014993,0.985007,0.01537,0.98463
genre,1770-1780,1789-1802,0.82648,0.17352,13868,13263,5717,0.014899,0.985101,0.022217,0.977783
fonde,1700-1710,1740-1750,0.826392,0.173608,217,616,5697,0.006794,0.993206,0.012215,0.987785
plainte,1730-1740,1740-1750,0.826251,0.173749,373,485,5696,0.009411,0.990589,0.013277,0.986723
devenu,1750-1760,1760-1770,0.826147,0.173853,1730,2202,5712,0.008601,0.991399,0.01716,0.98284
vuide,1710-1720,1789-1802,0.826132,0.173868,435,773,5700,0.011109,0.988891,0.019901,0.980099
